User_ID,Time_Lapse(ms),Time(epoch),Left_Height(Norm),Right_Height(Norm),Left_Height(Raw),Right_Height(Raw)
0,0,1642157311304,[2.59806453e-09 3.42128376e-12],[-2.73412049e-09 -5.35586083e-12],[ 1.24146698e-09 -3.14234041e-09],[-2.18710907e-09 -2.86387096e-09]
0,197,1642157311501,[-0.01904297 -0.0010376 ],[ 0.00256348 -0.00836182],[-0.00933838  1.04170227],[-0.04052734 -0.01826477]
0,352,1642157311656,[0.02331543 0.01681519],[ 0.00268555 -2.11096191],[-0.07092285 -2.13287354],[0.02905273 2.13143921]
0,511,1642157311815,[-1.07788086 -0.02856445],[-0.02246094  1.0927887 ],[-0.01000977 -0.02914429],[-1.0645752  1.1157074]
0,658,1642157311962,[0.01635742 0.04330444],[-2.0904541 -0.0697937],[0.08190918 0.08370972],[ 2.0982666  -2.15585327]
0,810,1642157312114,[1.06201172 0.00291443],[2.14117432 0.0080719 ],[-0.01275635 -0.01264954],[-1.02655029  0.01560974]
0,970,1642157312274,[-0.00134277  0.01223755],[-2.07470703 -2.14984131],[ 0.04907227 -0.00338745],[2.0760498 2.1361084]
0,1175,1642157312479,[ 0.01812744 -0.00750732],[-0.02209473  0.0062561 ],[1.06671143 1.10426331],[ 0.00476074 -1.10627747]
0,1416,1642157312720,[ 0.01428223 -0.00882975],[0.00638835 0.72052002],[-0.7097168  -0.00599162],[0.02001953 0.77845256]
0,1612,1642157312916,[2.16522217 0.00286865],[ 2.15039062 -1.06866455],[ 1.097229   -1.03543091],[ 0.02349854 -1.17666626]
0,1809,1642157313113,[0.02557373 0.00915527],[-0.00695801 -0.00422668],[-1.11846924 -0.02391052],[0.02111816 0.0045166 ]
0,1945,1642157313249,[-2.19799805 -0.06936646],[-2.1171875   2.16519165],[0.07250977 0.08758545],[-0.06945801 -2.15887451]
0,2090,1642157313394,[-0.02563477  0.03570557],[-0.02819824 -2.08947754],[ 2.27172852 -0.02359009],[0.0168457  2.06967163]
0,2236,1642157313540,[ 0.01391602 -0.00358582],[-0.00109863 -0.02287292],[-0.07867432 -0.02366638],[-0.00457764  0.04240417]
0,2382,1642157313686,[-0.0123291   0.03283691],[-0.02478027  0.01553345],[-2.21887207  0.01235962],[-0.0369873  -0.04644775]
0,2605,1642157313909,[0.72558594 0.00793457],[ 0.71138509 -0.00150553],[0.74715169 0.00557454],[ 0.00752767 -1.44856771]
0,2789,1642157314093,[ 0.01733398 -0.05786133],[0.06286621 2.13760376],[-2.19824219 -0.07122803],[-0.00891113 -0.08236694]
0,2944,1642157314248,[-1.11682129  0.02284241],[-1.05529785 -0.03630066],[ 1.08050537 -0.02522278],[-0.03509521  1.16685486]
0,3098,1642157314402,[0.03088379 0.01773071],[-0.02105713 -1.06022644],[-1.10064697  1.10009766],[0.04595947 1.09742737]
0,3250,1642157314554,[-2.23144531 -0.06488037],[-0.06982422  2.1729126 ],[-0.11584473 -2.18331909],[0.02954102 4.51498413]
0,3429,1642157314733,[0.0045166  0.01501465],[-1.0411377  -1.06045532],[0.06463623 0.02600098],[ 1.0223999  -0.09115601]
0,3630,1642157314934,[-0.03039551 -0.01773071],[1.06182861 1.07406616],[-0.02020264 -0.02546692],[-1.07745361 -1.07914734]
0,3825,1642157315129,[1.10949707 0.00784302],[ 0.01397705 -1.07569885],[1.14123535 0.02224731],[1.09777832 1.08097839]
0,4003,1642157315307,[-1.09344482  0.00282288],[-1.06854248  1.04675293],[-1.13494873 -0.00282288],[-0.03533936 -2.14846802]
0,4153,1642157315457,[2.15966797 0.05050659],[ 2.16186523 -2.18539429],[-0.02807617  2.05233765],[-2.10412598 -0.12594604]
0,4315,1642157315619,[-0.00701904 -0.01246643],[0.01367188 1.06970215],[ 0.07928467 -1.06547546],[1.0401001  0.03445435]
0,4473,1642157315777,[-2.19458008 -0.04562378],[-0.09594727  0.07928467],[2.12097168 2.16894531],[-2.04968262  4.3934021 ]
0,4611,1642157315915,[1.11047363 0.01280212],[ 0.02893066 -0.01687622],[-1.09710693 -0.01651001],[ 1.05865479 -2.18418884]
0,4755,1642157316059,[-2.18383789  0.01477051],[-0.04711914 -0.0199585 ],[ 0.00158691 -0.01187134],[-2.12158203  0.02853394]
0,4958,1642157316262,[-0.00024414 -0.01083374],[-1.07250977  0.00741577],[0.00262451 0.03096008],[ 1.06036377 -0.03178406]
0,5106,1642157316410,[-0.01281738  0.00030518],[1.07617188 0.00430298],[-0.02429199 -1.06848145],[-1.09014893  0.019104  ]
0,5276,1642157316580,[ 2.18603516 -0.00747681],[0.06213379 0.03121948],[0.12756348 2.08856201],[ 2.16003418 -0.04473877]
0,5430,1642157316734,[-1.10272217  1.0315094 ],[-0.0501709   0.01367188],[ 1.05511475 -1.05892944],[-1.05047607  2.17219543]
0,5590,1642157316894,[ 0.04919434 -2.00616455],[-2.09814453 -2.24435425],[-2.25158691  0.01776123],[ 2.0657959  -2.08242798]
0,5758,1642157317062,[ 1.14111328 -0.02705383],[2.17492676 1.09643555],[1.13043213 1.11314392],[ 0.05877686 -2.22036743]
0,5903,1642157317207,[-0.0447998   0.00752258],[-1.08752441 -1.063797  ],[-1.10614014 -0.00996399],[-1.09674072  2.15626526]
0,6087,1642157317391,[ 0.03393555 -0.00823975],[-0.00183105  0.01376343],[0.06494141 0.01608276],[ 0.06591797 -2.15484619]
0,6218,1642157317522,[0.00396729 0.00973511],[0.0065918  1.04650879],[-0.0758667  -1.13111877],[1.06054688 1.15766907]
0,6388,1642157317692,[ 0.0592041  -0.01223755],[2.13989258 0.02105713],[2.12365723 0.07583618],[0.05200195 2.20080566]
0,6546,1642157317850,[-1.09393311  1.02574158],[-1.06951904  0.01150513],[0.05413818 0.03489685],[-0.01953125 -2.27365112]
0,6689,1642157317993,[2.19628906 0.02639771],[ 2.16467285 -0.02178955],[-0.02453613  2.10595703],[-2.07080078 -2.18673706]
0,6890,1642157318194,[-0.03430176 -1.0015564 ],[ 1.07897949 -1.03553772],[ 1.10095215 -0.06585693],[ 1.10498047 -0.04341125]
0,7060,1642157318364,[-2.21429443  1.09341431],[ 0.04260254 -0.0533905 ],[1.11010742 1.17456055],[1.06994629 0.04795837]
0,7236,1642157318540,[-1.11999512 -0.02516174],[0.0211792  0.02618408],[-1.07531738  1.09329224],[1.12579346 2.15919495]
0,7379,1642157318683,[-0.02380371  2.15060425],[0.03039551 2.04064941],[-0.0682373   0.04434204],[-0.09240723 -2.07397461]
0,7524,1642157318828,[0.00793457 0.00531006],[-0.0100708  -1.02682495],[ 0.02844238 -0.00642395],[2.26324463 2.16127014]
0,7660,1642157318964,[ 0.00427246 -0.0161438 ],[-0.0123291  -0.01132202],[-0.02612305 -0.00723267],[-2.2088623  -2.20523071]
0,7805,1642157319109,[ 0.01483154 -0.00115967],[-0.00592041  0.01268005],[1.12219238 0.02168274],[-1.11102295 -0.02648926]
0,7956,1642157319260,[8.54492188e-04 3.05175781e-05],[-0.00268555  2.02981567],[-2.30212402 -0.01135254],[4.48620605 0.15899658]
0,8095,1642157319399,[-0.06542969  0.01330566],[0.06079102 0.009552  ],[0.08398438 2.14697266],[2.14782715 2.27017212]
0,8241,1642157319545,[-0.00561523  1.10179138],[ 1.03088379 -0.00567627],[-0.05212402 -1.08998108],[ 1.11761475 -0.03979492]
0,8390,1642157319694,[ 0.04577637 -0.03219604],[-2.06872559  0.00811768],[-4.38098145 -0.02005005],[ 0.00952148 -0.02142334]
0,8540,1642157319844,[-1.06542969 -1.01190186],[ 0.00372314 -1.03414917],[-0.01733398 -0.03207397],[-0.01623535 -1.11779785]
0,8708,1642157320012,[1.06872559 1.02038574],[-0.01153564  1.03991699],[ 2.26434326 -1.0350647 ],[-1.04577637 -2.20541382]
0,8868,1642157320172,[-0.01782227 -2.20663452],[-0.00976562  0.02618408],[4.32580566 4.33544922],[-0.17822266  8.85794067]
0,9026,1642157320330,[-1.07220459e+00 -1.22070312e-04],[0.00152588 0.0138092 ],[-1.08624268  0.07621765],[-2.19696045 -0.01727295]
0,9182,1642157320486,[2.07922363 0.09738159],[ 2.19445801 -2.07904053],[2.3215332  2.23922729],[-8.94628906  2.23724365]
0,9354,1642157320658,[-1.08782959  0.00770569],[ 0.01721191 -0.00392151],[ 1.10168457 -0.0226593 ],[-0.00842285  0.02728271]
0,9514,1642157320818,[0.00646973 2.21131897],[ 0.01098633 -0.04026794],[ 1.09454346 -2.20457458],[ 2.21282959 -5.58177185]
0,9665,1642157320969,[-2.20263672e+00 -9.15527344e-04],[2.23364258 0.02609253],[-2.06030273 13.46743774],[4.63806152 8.93341064]
0,9820,1642157321124,[ 0.01434326 -1.07777405],[-1.09387207 -1.07450867],[4.41638184 1.14125061],[1.05889893 0.00521851]
0,9974,1642157321278,[-0.07946777 -2.27218628],[4.34887695 2.11495972],[2.21704102 4.36853027],[-4.47973633  4.5519104 ]
0,10146,1642157321450,[-0.00695801  0.01042175],[ 0.02307129 -0.0038147 ],[-2.18695068 -1.07460022],[-2.22503662 -1.13078308]
0,10300,1642157321604,[-1.07574463  1.07624817],[-1.08654785 -2.20098877],[-2.28155518  0.00854492],[-0.01739502  5.55601501]
0,10450,1642157321754,[ 2.19677734 -2.25726318],[ 2.13562012 -0.05075073],[-2.19177246 -2.30599976],[-4.45458984  2.36227417]
0,10619,1642157321923,[-1.09692383 -0.01054382],[0.03540039 1.10707092],[1.03491211 0.03346252],[-3.33325195  2.27804565]
0,10780,1642157322084,[ 4.35119629 -0.04736328],[-2.24755859  0.03115845],[-6.44689941 -4.40441895],[13.28686523 -4.62026978]
0,10946,1642157322250,[ 0.00341797 -2.12950134],[-0.01477051  1.13250732],[-0.08856201  1.04927063],[-1.05657959 -2.1885376 ]
0,11089,1642157322393,[0.01989746 2.18243408],[-0.01220703 -2.2428894 ],[ 2.23095703 -0.09835815],[2.17041016 4.37921143]
0,11241,1642157322545,[-1.10186768  1.04389954],[ 1.11444092 -0.02099609],[ 0.07250977 -1.02532959],[-4.42852783  0.07255554]
